#PageRankData 0
# PageRank computation data result
# Copyright (C) 2012 Hitoshi Yamauchi
#
# result_index pagerank sorted_permulation_index
#
1 0.00035599 566
7 7.99432e-05 1612
8 4.87004e-05 584
9 0.000174039 1206
10 0.000845266 1347
14 0.00016113 231
15 0.000401675 724
21 7.23914e-05 179
22 2.45474e-05 237
23 0.0001925 701
25 0.000170012 1051
34 4.28658e-05 591
39 0.00103061 775
44 0.000140694 194
48 2.99577e-05 758
49 2.69385e-05 1845
52 2.19197e-05 1920
54 0.000279376 823
55 2.76234e-05 948
60 0.000403343 916
64 0.000114913 928
67 0.00019453 64
70 0.000703077 1994
74 0.000970103 813
78 0.000356171 1867
79 2.24746e-05 2073
84 0.000102507 1145
86 3.30827e-05 493
87 0.00052317 239
88 0.000102496 999
89 0.000810292 61
90 0.00071419 281
92 0.00144697 1189
93 0.00152071 1623
94 2.40973e-05 409
95 0.00027264 1981
101 0.000539665 1510
102 0.000299598 1203
103 0.00172814 116
104 0.000357686 787
108 5.94192e-05 1566
109 0.00194887 987
110 3.83932e-05 131
112 2.48441e-05 1244
114 8.87675e-05 888
115 0.000757717 471
117 5.42048e-05 247
120 9.19479e-05 1621
121 2.64203e-05 1632
122 0.000218788 1303
123 0.000675333 80
124 3.2583e-05 1758
125 3.2583e-05 1222
130 0.000179805 1950
133 0.000180394 585
136 3.99925e-05 1290
138 3.99681e-05 204
140 0.000836176 1568
141 0.000333482 1320
144 0.0021684 541
145 0.00388125 159
147 0.000969718 908
148 2.67838e-05 1907
149 0.0047293 639
156 0.000698108 1931
157 0.000295226 132
161 5.71303e-05 1711
166 0.000939788 1850
169 5.52746e-05 1565
174 0.000205104 1354
178 0.000305786 1649
180 0.00118653 1459
188 0.000417886 2068
192 2.18932e-05 392
194 2.00441e-05 698
200 0.000126917 1882
202 0.000105464 289
211 9.6686e-05 506
212 5.54046e-05 448
214 0.00317168 430
226 0.00208084 2072
228 0.00019289 1786
232 0.000120165 265
233 0.000458839 1388
235 0.000106523 872
239 0.000223143 761
247 0.000409282 1330
249 0.0004103 669
250 0.00181849 1635
252 0.000624431 1871
256 2.40686e-05 1799
257 0.000113083 543
262 0.000596348 60
264 5.01377e-05 1137
268 3.17162e-05 1204
272 0.00166612 1782
273 0.00024225 519
277 0.000143442 346
282 0.00039642 827
287 0.000128418 81
290 2.47074e-05 892
292 0.000284744 860
293 7.61616e-05 559
294 6.66812e-05 708
296 0.000352545 631
299 0.00055753 751
300 0.000825239 783
302 0.000204339 2040
304 7.51159e-05 412
305 0.00082188 602
309 9.58413e-05 42
311 0.000181899 1554
312 4.7546e-05 477
313 0.000248438 1118
315 4.13181e-05 1536
317 0.00358308 1959
318 4.76016e-05 1344
319 8.27998e-05 964
330 0.000245566 1302
331 0.000112408 89
337 6.21177e-05 331
341 4.2875e-05 1086
342 0.000227143 1630
344 0.00107702 1736
347 0.000119116 1202
355 5.0706e-05 1261
359 2.28785e-05 1926
375 0.00120227 1698
377 5.23684e-05 39
379 0.000102883 158
381 0.00351843 606
382 0.0027714 323
391 9.95883e-05 858
397 1.88741e-05 939
398 0.000477921 960
402 3.67624e-05 96
409 6.91768e-05 1461
410 0.000417334 752
418 2.45474e-05 389
426 0.00147535 1526
430 4.95467e-05 240
431 0.000833063 873
432 0.000160231 644
434 0.000100245 34
442 0.000147868 604
446 0.000130525 655
448 0.000102725 1928
449 5.39353e-05 501
451 8.70051e-05 1792
456 4.81816e-05 1116
464 3.90575e-05 1892
466 0.000106583 140
467 0.000166893 2027
474 0.000113982 1111
480 0.000406073 531
484 4.40764e-05 881
486 2.27135e-05 33
489 0.00171367 1397
491 0.00297475 280
492 3.20436e-05 1121
497 2.28785e-05 1572
498 0.000290335 1362
504 0.00010124 1937
506 2.13932e-05 978
508 0.000776332 185
514 0.00064429 496
517 2.42251e-05 1452
518 0.000658796 301
522 0.000240404 769
523 2.28074e-05 1732
525 0.000655198 269
527 0.000955925 897
538 7.43018e-05 1677
543 5.86186e-05 368
544 7.07438e-05 1622
545 2.53185e-05 1831
547 0.000277582 900
551 4.50075e-05 831
556 0.00833565 1291
557 1.9017e-05 1299
559 5.98177e-05 2036
562 0.000148261 1436
565 0.000173371 1923
568 1.9744e-05 912
569 0.00138582 1268
574 0.000242998 2074
577 0.000957565 665
578 0.000383058 1185
579 0.00119979 317
580 4.83722e-05 690
586 6.94175e-05 782
587 2.48441e-05 128
588 0.000275733 189
589 0.00623807 1853
593 0.000343392 1200
599 0.000170674 1781
600 2.48872e-05 1135
607 3.5009e-05 72
610 0.000607548 489
612 0.000221341 580
613 0.000287056 1446
616 0.000133616 1472
618 0.000780309 505
619 0.00309121 364
631 0.000100004 1905
633 0.000379999 1904
641 5.15771e-05 681
643 0.000324475 930
644 0.000145288 1943
654 0.000544484 2011
659 0.000274408 1505
662 4.02038e-05 473
664 0.000859798 124
665 0.000249059 1157
669 0.000286955 1849
672 0.000148585 647
674 0.000105284 793
675 0.000337915 1808
676 5.90202e-05 540
677 3.90387e-05 227
678 0.00016297 693
679 9.46384e-05 1245
681 9.46384e-05 13
682 0.000312319 1424
684 0.00028901 923
685 0.000428308 943
686 0.00104283 593
689 6.23143e-05 1194
690 3.90133e-05 1085
696 9.95536e-05 1545
697 0.00979513 1011
698 3.93362e-05 1595
699 0.000106158 716
703 7.85929e-05 1365
704 0.000100666 1753
705 0.000172985 1465
708 0.00742222 24
717 5.12266e-05 62
