# pagerank computation result data
# Hitoshi Yamauchi 2012
# result_index pagerank sorted_permulation_index
1 0.000539453 67
4 0.000405248 173
6 0.000283641 198
9 0.0010229 161
12 0.00446906 122
16 0.00326469 101
17 0.00756385 227
23 0.00671069 103
24 0.001346 286
25 0.00407276 31
27 0.000145895 109
28 0.000376245 97
30 0.00414636 34
35 0.00425421 235
36 0.00823949 23
38 0.00453205 74
42 0.000322656 22
44 0.00560117 231
45 0.00645894 254
47 0.00517837 167
50 0.000598625 200
53 0.0103269 145
55 0.0105266 137
57 0.00407305 93
59 0.00525306 15
61 0.000256172 77
64 0.00407276 62
68 0.00741941 155
71 0.00647934 7
75 0.00143883 119
80 0.0122138 63
85 0.000136173 28
91 0.00407276 256
94 0.0116318 79
96 0.000973948 245
101 0.00504896 222
102 0.000184784 105
103 0.00419341 39
108 0.00704633 108
110 0.000289367 216
111 0.000625429 171
116 0.000158947 8
117 0.00665288 43
123 0.00100842 83
129 0.000149835 125
133 0.00287282 188
136 0.000441142 29
138 0.00452219 19
141 0.00438469 138
142 0.00410752 239
146 0.00577173 233
147 0.00194062 116
154 0.000143637 206
156 0.000145989 257
158 0.00212808 144
160 0.00407276 51
161 0.000260247 18
163 0.000171135 186
164 0.00419095 269
170 0.00096704 195
173 0.00410752 218
175 0.00806093 25
176 0.00742922 20
178 0.000271331 127
179 0.00015563 36
184 0.000591911 236
186 0.0243508 158
187 0.00444924 213
189 0.00167169 243
190 0.00251298 259
192 0.000221418 276
193 0.000135095 102
194 0.00407276 279
195 0.0104121 16
196 0.000354596 172
198 0.000416238 48
199 0.0082196 104
202 0.000784058 190
203 0.00732342 5
204 0.00407305 68
205 0.00442653 180
206 0.00407276 81
210 0.00657817 49
213 0.00410752 139
215 0.000922463 185
218 0.000584273 88
223 0.00404741 14
225 0.00427845 133
229 0.000784058 38
234 0.00414846 59
235 0.00014314 159
237 0.00237481 280
239 0.00858038 90
244 0.000175792 13
247 0.00117302 183
248 0.00407305 271
250 0.011987 50
253 0.00407276 61
254 0.000103402 84
255 0.000267273 112
259 0.0135745 131
262 0.00460388 160
265 0.0132454 174
267 0.00451 221
269 0.00705762 224
272 0.00135774 225
276 0.0017452 246
281 0.00687361 273
284 0.0120586 270
291 0.00209225 96
292 0.00110117 118
293 0.00410752 24
299 0.000216916 80
302 0.00219049 191
303 0.000458446 204
308 0.00604589 209
312 0.00407276 212
313 0.00407305 255
315 0.00743945 283
316 0.000367505 10
318 0.00105626 27
319 0.0151112 33
321 0.000790322 56
325 0.00407276 73
327 0.00654071 82
328 0.000158127 98
332 0.00513295 117
341 0.00167562 124
342 0.000674938 87
343 0.000264904 229
344 0.00410752 201
345 0.00022068 220
347 0.0041937 166
349 0.000676747 150
351 0.000784058 6
352 0.000377576 46
353 0.00860606 228
357 0.00635808 268
358 0.00438407 274
366 0.00182501 281
367 0.00143889 152
371 0.000369269 70
373 0.000321043 265
374 0.00579662 92
376 0.00868757 278
378 0.000453037 226
380 0.00125839 208
381 0.000149835 114
386 0.000264104 285
391 0.00327455 55
392 0.00162532 110
394 0.00258501 196
398 0.000140497 52
399 0.00168495 157
400 0.00775467 140
402 0.000882369 244
405 0.00187309 175
409 0.00497041 107
412 0.00418207 154
413 0.00410752 128
416 0.0190772 69
420 0.00140529 151
422 0.000441142 219
424 0.000131363 282
428 0.00140624 141
433 0.00335364 30
437 0.0101235 165
439 0.000449425 162
441 0.000565026 230
442 0.000400306 106
443 0.00674604 9
444 0.00452357 147
445 0.023757 176
449 0.00410752 95
451 0.00177346 203
452 0.0012088 199
456 0.000136742 284
458 0.000294102 207
461 0.000186111 111
462 0.00443742 232
463 0.000324549 121
466 0.000190616 4
467 0.00414133 44
469 0.000149835 35
475 0.00428308 60
478 0.00554075 85
479 0.000544534 262
484 0.00653422 156
485 0.000459066 267
487 0.0044936 193
488 0.00407305 272
489 0.000443987 123
492 0.000820905 248
494 0.000251591 247
496 0.00540699 241
502 0.00194247 240
503 0.000539453 215
505 0.0208842 78
508 0.00113157 135
510 0.00932711 89
513 0.00365885 134
514 0.00014314 129
516 0.00114874 41
517 0.00407276 210
518 0.000149835 21
520 0.00598068 66
531 0.00110805 86
539 0.00232244 277
540 0.00407276 169
541 0.00061444 237
549 0.000317708 253
552 0.00407276 187
555 0.00493922 260
559 0.000171131 197
560 0.000784058 1
565 0.0067673 251
566 0.000201896 189
578 0.00526685 115
582 0.00158503 146
584 0.00337963 168
586 0.00410752 192
587 0.00710419 47
589 0.000171135 163
593 0.00410752 76
594 0.00410752 2
595 0.00236712 170
600 0.0134551 136
603 0.00279335 12
604 0.00394517 142
607 0.00139314 120
612 0.0102418 75
618 0.00108265 261
619 0.00626115 250
624 0.000158075 258
626 0.0110988 181
627 0.00503576 263
631 0.000562398 17
634 0.000137107 143
641 0.00634271 211
645 0.000784058 178
646 0.000784058 40
647 0.000137424 264
649 0.00493056 3
651 0.00178786 249
654 0.00717616 64
656 0.00410752 100
657 0.000784058 130
658 0.000784058 149
662 0.000281402 57
663 0.000346965 26
666 0.000497633 194
669 0.00014771 71
671 0.000562398 132
676 0.0101379 113
677 0.00407276 217
678 0.00735682 266
680 0.00590928 182
681 0.000332561 179
683 0.00491067 37
690 0.000542504 94
692 0.000353279 58
693 0.00091564 223
694 0.000322905 214
699 0.000289367 275
700 0.0024624 42
704 0.000197858 126
706 0.000853735 234
707 0.0027856 65
708 0.0054115 45
709 0.00407362 184
710 0.00411621 148
713 0.000811966 205
718 0.00410752 252
721 0.00269215 54
722 0.000163732 11
726 0.00469824 53
729 0.000565152 91
730 0.00237158 202
735 0.00459312 153
738 0.00414876 242
739 0.0026613 238
740 0.00145082 177
743 0.00407276 32
750 0.0011267 72
752 0.00213554 164
753 0.0125851 99
