#PageRankData 0
# PageRank computation data result
# Copyright (C) 2012 Hitoshi Yamauchi
#
# result_index pagerank sorted_permulation_index
#
1 0.0050883 23
5 0.0219051 22
9 0.0323052 17
12 0.00746521 30
14 0.00922131 19
17 0.00763307 29
18 0.0219051 18
20 0.0191233 14
22 0.0197416 3
24 0.0219051 12
28 0.00925913 10
36 0.0263943 15
44 0.0102681 7
47 0.0323052 2
48 0.0219051 9
57 0.0131128 21
58 0.0996572 8
60 0.0778663 20
61 0.0862605 16
69 0.0167465 13
72 0.0191689 11
77 0.0996572 5
79 0.108463 26
81 0.00374672 27
86 0.00636021 28
99 0.00904392 6
100 0.00863856 4
108 0.00852261 25
112 0.0780664 31
129 0.0927614 1
134 0.00550282 24
