# pagerank computation result data
# Hitoshi Yamauchi 2012
# result_index pagerank sorted_permulation_index
3 0.00730429 69
4 0.00730429 12
8 0.00176503 13
13 0.00248767 46
21 0.0049956 57
25 0.0106383 20
46 0.00352917 29
49 0.00188769 40
61 0.00692084 44
69 0.00684396 48
70 0.00312542 64
77 0.0451262 33
78 0.0401929 65
81 0.00943533 53
85 0.0209534 38
89 0.00541789 85
100 0.00147263 71
101 0.00184842 15
104 0.00214897 70
106 0.0325406 81
110 0.0027001 83
117 0.00550387 76
118 0.0111384 45
121 0.00299084 86
122 0.00234382 23
130 0.0058265 80
133 0.00829413 6
141 0.00267186 67
147 0.032097 72
157 0.0052393 14
158 0.00299084 27
159 0.00163768 55
173 0.0282633 74
178 0.00234382 79
179 0.00352917 82
180 0.00312542 51
184 0.00730429 1
186 0.0269833 2
193 0.0052393 37
194 0.0309029 42
222 0.00267186 62
225 0.00730429 63
229 0.0017812 56
239 0.030748 47
244 0.0124358 54
247 0.0344427 84
252 0.00730429 75
255 0.0305062 77
256 0.00125329 58
257 0.00234382 9
259 0.0076046 10
261 0.00483506 26
264 0.0275217 73
267 0.00730429 22
275 0.00761055 16
282 0.00730429 30
294 0.0342878 39
316 0.00713439 5
324 0.0017812 52
325 0.00188769 7
333 0.00299084 35
342 0.00730429 11
343 0.00730429 36
344 0.0297521 24
378 0.028046 61
381 0.00282141 31
383 0.0106066 66
385 0.00163768 21
386 0.0640597 28
388 0.018181 41
389 0.0209926 4
401 0.00969008 34
405 0.00580867 25
410 0.00761055 50
432 0.00730429 19
433 0.0136558 60
434 0.00730429 87
436 0.00183073 8
441 0.00761055 18
442 0.0109886 78
443 0.0180754 43
445 0.00761055 59
447 0.0166705 3
452 0.00730429 32
459 0.0255295 68
462 0.0122947 17
463 0.00188769 49
