#PageRankData 0
# PageRank computation data result
# Copyright (C) 2012 Hitoshi Yamauchi
#
# result_index pagerank sorted_permulation_index
#
2 0.000147049 1480
4 0.000241597 915
6 4.37394e-05 1302
8 0.000313396 1137
10 0.00193633 1203
12 0.000495295 461
13 0.000448616 351
16 8.50003e-05 493
18 6.30298e-05 1799
19 0.00213968 523
23 0.000387361 1435
27 0.000146033 1028
28 0.000139741 921
29 0.000207544 810
30 0.000277369 1128
31 0.000404961 1795
34 0.000189194 164
35 0.000133037 298
38 5.80167e-05 739
39 0.000114408 926
40 0.00051875 1246
41 0.000376528 1792
42 0.000210864 313
44 5.66132e-05 1544
47 2.22722e-05 324
50 0.00024853 1484
51 0.00010822 1527
54 0.000363228 947
55 3.60395e-05 286
56 0.000101782 943
58 0.000106992 1232
61 0.00289773 483
62 0.00103948 372
67 0.000657487 67
68 0.000186163 82
73 0.000217745 68
76 0.000214109 1525
79 0.000154994 1568
80 0.00114947 1013
83 2.53966e-05 423
84 0.000487716 522
85 0.000125695 1722
87 2.44163e-05 1159
88 0.000142691 1605
89 0.000378347 962
90 0.000105197 646
91 4.11771e-05 142
94 0.000197732 1434
95 3.43319e-05 1752
96 4.38094e-05 1810
97 0.000504646 32
98 0.00282488 774
100 0.00171397 1694
102 0.000299937 677
104 0.000137212 1170
107 0.000115616 52
111 0.000500048 1483
117 7.03712e-05 1152
118 4.63691e-05 1279
119 3.19963e-05 517
121 7.37119e-05 472
123 0.000112877 659
126 0.000332754 698
127 0.00139409 1426
128 0.000150771 564
130 0.00205684 1521
132 0.00371263 879
133 0.00347132 1202
135 0.000688922 220
137 8.5595e-05 105
138 0.000378071 982
139 6.55888e-05 869
140 4.7795e-05 596
141 7.2755e-05 934
142 0.000405107 359
143 0.00122506 1311
144 0.000183016 703
147 0.000798694 898
148 6.27341e-05 1199
149 0.000422775 1496
151 0.000203268 1557
152 0.00362533 1438
156 0.000147697 608
157 6.93674e-05 327
160 6.62192e-05 866
161 0.000297889 1601
162 4.0848e-05 545
164 0.000107395 1392
167 0.000269563 251
169 0.00032848 987
170 0.00114984 346
171 0.000145697 1086
174 0.000980429 992
176 0.000107207 234
177 0.00176562 974
178 0.000115721 1146
186 2.60907e-05 1471
