# pagerank computation result data
# Hitoshi Yamauchi 2012
# result_index pagerank sorted_permulation_index
4 0.0328472 12
10 0.0141635 28
15 0.0711195 7
21 0.0134979 3
27 0.0230934 26
33 0.012685 10
38 0.0738887 13
54 0.00691027 23
66 0.0168571 24
72 0.0620523 1
73 0.0186003 14
76 0.0994588 25
83 0.0604394 15
87 0.031607 5
96 0.024397 29
99 0.0123729 17
114 0.0202306 20
122 0.0123729 21
124 0.0186003 11
127 0.0186003 19
128 0.0186003 22
134 0.0171271 9
135 0.0562456 2
142 0.0425743 4
145 0.0301704 6
147 0.0644939 16
149 0.0123729 18
161 0.0917209 27
164 0.0229004 8
