#PageRankData 0
# PageRank computation data result
# Copyright (C) 2012 Hitoshi Yamauchi
#
# result_index pagerank sorted_permulation_index
#
1 0.00851853 3
2 0.00236864 11
3 0.142704 19
5 0.00699877 23
9 0.0137943 38
11 0.00620268 42
15 0.0191618 7
16 0.0078786 55
17 0.0115431 15
21 0.00395234 36
29 0.136013 29
31 0.0137653 45
32 0.0137653 56
36 0.00236864 41
41 0.0174453 27
43 0.0112197 5
47 0.00336007 12
52 0.00336007 13
54 0.110592 34
55 0.0112299 51
59 0.00336007 9
60 0.0104457 20
61 0.106935 16
63 0.00311823 54
67 0.0100194 28
71 0.00631498 22
74 0.0145602 25
89 0.0106383 30
90 0.0158298 40
91 0.00914083 37
93 0.00821143 1
94 0.00604418 31
97 0.00774837 8
103 0.0131192 43
104 0.00495672 33
114 0.016437 4
116 0.00880898 26
118 0.0331055 6
119 0.00236864 32
123 0.00911034 44
124 0.0146578 50
125 0.0301737 35
129 0.0078786 53
131 0.00562388 10
132 0.0158298 47
134 0.00236864 17
140 0.0036914 18
147 0.00238774 21
148 0.00311823 24
155 0.00547747 49
158 0.0117086 52
160 0.00305018 48
164 0.00406899 2
165 0.0107805 14
170 0.0176814 39
172 0.0149884 46
