#PageRankData 0
# PageRank computation data result
# Copyright (C) 2012 Hitoshi Yamauchi
#
# result_index pagerank sorted_permulation_index
#
1 0.0181153 46
2 0.000508083 13
3 0.0147357 35
5 0.0179746 59
7 0.0293131 83
9 0.00140043 5
11 0.00180352 58
12 0.0176249 87
15 0.00189538 24
16 0.000779307 41
17 0.00114178 64
20 0.0168055 28
21 0.033079 49
22 0.000508083 43
27 0.00637009 78
29 0.0161534 29
31 0.00136159 54
32 0.00136159 80
34 0.0102364 74
36 0.000508083 1
37 0.0176249 4
39 0.0179045 22
40 0.00953458 45
41 0.0272312 63
42 0.00577711 82
43 0.00169148 8
45 0.0168055 21
47 0.0238624 39
52 0.0229268 56
54 0.00624905 73
55 0.00186609 86
56 0.000752399 61
59 0.000910606 52
60 0.00158129 70
61 0.031694 12
63 0.000449703 27
66 0.00641831 16
67 0.00648346 3
68 0.0176249 88
71 0.00464279 77
74 0.0254186 89
84 0.00948696 19
86 0.0229268 23
89 0.00711452 42
90 0.0178137 72
91 0.0333633 44
93 0.000828961 57
94 0.00177727 38
96 0.0237592 37
97 0.00125608 15
99 0.00577711 30
101 0.0169382 25
102 0.00492138 51
103 0.0192071 53
104 0.000972924 40
108 0.0175889 81
114 0.00667224 85
116 0.0293131 79
118 0.0307634 65
119 0.000508083 9
121 0.0170648 31
123 0.00136315 7
124 0.0177711 67
125 0.0244979 48
126 0.00212533 26
129 0.000779307 34
131 0.00178652 71
132 0.00123582 6
134 0.000508083 62
135 0.0168432 17
140 0.00143755 18
142 0.00948696 50
144 0.0175889 68
146 0.0182346 11
147 0.000910026 55
148 0.000449703 84
149 0.0108035 33
153 0.0229268 75
155 0.00221867 47
156 0.0187196 10
158 0.00392206 66
160 0.0176881 32
161 0.0293356 2
164 0.000939162 14
165 0.00248976 20
166 0.0173322 60
168 0.0293131 69
170 0.0118191 36
172 0.0102946 76
