# pagerank computation result data
# Hitoshi Yamauchi 2012
# result_index pagerank sorted_permulation_index
3 0.00185735 59
5 0.00397964 61
18 0.00565764 114
25 0.0117815 32
26 0.0139881 68
27 0.00675613 67
36 0.000948866 36
40 0.00422108 90
43 0.0050514 102
52 0.00246966 97
58 0.0101398 77
60 0.00246966 92
61 0.00370835 81
80 0.00237008 30
82 0.00121597 113
90 0.00117376 62
98 0.00139595 43
102 0.00341518 35
116 0.00578826 27
117 0.00578826 89
124 0.00185735 5
126 0.000945846 4
132 0.00494087 94
135 0.0108215 93
152 0.00578826 24
157 0.00237008 105
167 0.014591 11
176 0.0015498 33
177 0.00368654 63
181 0.0202402 48
184 0.0014115 47
194 0.0418931 6
203 0.010032 70
204 0.00147281 37
208 0.0157343 99
210 0.0337954 100
217 0.00616421 104
219 0.00130629 79
222 0.00297129 76
224 0.00228791 50
227 0.00547215 51
228 0.0014115 25
229 0.0184824 19
230 0.00129777 20
231 0.00116698 3
233 0.00265373 41
235 0.00815295 110
236 0.00850766 9
237 0.00237008 23
243 0.00578826 8
244 0.00578826 116
247 0.00329578 111
248 0.00185735 2
249 0.00228791 58
250 0.00185735 13
254 0.00141813 29
258 0.00285711 107
260 0.00385789 18
262 0.0850912 66
266 0.0014115 115
267 0.0670896 52
275 0.0184916 112
276 0.00935575 87
279 0.000982905 88
281 0.00249218 39
289 0.0033757 95
296 0.0349728 101
302 0.035196 57
304 0.0009911 109
305 0.00621867 86
311 0.00170976 46
312 0.00141813 65
313 0.00143531 96
315 0.00188147 10
318 0.00141813 12
319 0.00578826 106
327 0.029979 84
329 0.00185735 49
331 0.00578826 14
338 0.00158009 26
344 0.0203848 40
349 0.00219076 54
351 0.00129777 82
354 0.00237008 74
361 0.0014115 55
364 0.00266 53
373 0.00309051 91
375 0.00297896 21
378 0.0142393 78
379 0.0330358 1
384 0.00185735 71
391 0.0203865 80
397 0.0108215 28
400 0.0108215 34
404 0.00293698 103
410 0.00249218 73
415 0.030628 56
416 0.000948866 72
418 0.00578826 75
419 0.00578826 31
420 0.00286898 60
421 0.0319594 42
427 0.0014627 85
429 0.00578826 17
435 0.0102363 38
439 0.00237008 83
444 0.00356834 44
448 0.00116698 15
460 0.00271828 16
464 0.00514751 45
469 0.00401192 108
474 0.00328336 69
483 0.0199455 64
485 0.0468263 98
486 0.00329845 7
487 0.00413363 22
