#PageRankData 0
# PageRank computation data result
# Copyright (C) 2012 Hitoshi Yamauchi
#
# result_index pagerank sorted_permulation_index
#
12 0.0162455 27
13 0.0577932 32
27 0.00242605 28
43 0.0121548 2
44 0.0329483 30
46 0.0462584 24
57 0.0125488 6
61 0.0029463 48
81 0.00612092 41
82 0.00424911 5
89 0.0140186 38
112 0.00627241 25
124 0.0162455 14
125 0.0231181 20
126 0.0072388 1
135 0.00331632 13
140 0.0107499 50
148 0.00336455 11
156 0.0107499 7
158 0.0230339 4
161 0.00438843 29
167 0.00640814 52
169 0.00384072 17
170 0.0498497 45
181 0.0282827 46
185 0.0107499 19
199 0.128681 26
200 0.0668378 43
211 0.0107499 39
223 0.0498832 35
238 0.00262144 37
251 0.0790405 49
277 0.00482556 51
284 0.00262144 15
288 0.0107499 44
290 0.00256495 22
301 0.00814389 12
303 0.0318626 9
308 0.0107499 33
309 0.00424911 21
331 0.0397416 40
345 0.00256495 10
352 0.0107499 23
368 0.00685644 18
369 0.0107499 16
377 0.0107499 8
379 0.00220128 31
392 0.0457611 34
393 0.00781654 36
394 0.0153413 42
401 0.00781654 3
407 0.0107499 47
