#PageRankData 0
# PageRank computation data result
# Copyright (C) 2012 Hitoshi Yamauchi
#
# result_index pagerank sorted_permulation_index
#
3 0.000468794 390
4 0.000538139 11
10 0.00086182 250
12 0.00161266 496
13 0.000179054 161
14 0.000133643 323
16 0.00276548 341
17 0.000398199 86
19 0.00567662 92
22 0.000661416 116
23 0.0195231 166
28 0.000289928 311
29 0.00361491 525
30 0.000184266 255
33 0.000145772 481
34 0.000407061 568
43 0.00220208 193
44 6.94663e-05 243
45 0.00191011 368
46 0.000839689 129
47 0.000726692 558
48 0.000695994 68
49 0.00396193 487
50 0.000520204 211
58 0.00179128 64
59 0.0013815 32
62 0.000143204 511
63 0.000647594 327
64 0.00290489 465
65 0.000426202 220
66 0.00187723 469
70 0.00618637 461
71 0.00112384 192
72 0.000729491 51
73 0.00143503 355
74 0.000234954 9
75 0.000328178 530
76 0.00136467 123
77 0.000253998 225
83 0.000810008 262
87 0.00134489 90
89 0.00167854 507
91 0.000317631 522
92 0.000277748 245
93 0.000303441 448
95 0.00361332 221
97 0.00181388 53
98 0.00108163 516
99 0.00153045 408
100 0.00452742 66
101 0.00573678 371
104 0.000275727 421
105 0.00497623 416
107 0.00220487 411
109 0.000700604 191
110 0.000354003 385
111 0.00118977 260
112 0.003212 50
113 0.000685648 449
114 0.000274116 542
116 0.000190863 409
117 0.00169774 442
121 0.000529576 174
123 0.00623976 285
124 0.00221676 538
125 0.00484103 93
127 0.000321373 381
128 0.00709652 335
131 0.00112616 432
134 0.00030605 23
136 0.00133961 345
144 0.000807284 78
145 0.00132256 75
147 0.00023587 219
149 0.00387571 498
152 0.00296412 324
154 0.000429487 105
156 0.00388011 13
157 0.000667615 46
158 0.000105671 137
160 0.00057859 459
161 0.0005159 528
163 0.000727863 84
165 0.0033752 338
166 0.0012574 58
167 0.0112524 308
170 0.00141748 557
171 0.000670473 457
172 0.000388155 474
173 0.00523923 444
174 0.000740693 76
177 0.0111651 313
179 0.00415786 29
180 0.000328911 399
182 0.000409537 482
183 0.00163139 533
184 0.000184671 7
185 0.000255206 372
188 0.000320142 423
189 0.000394246 514
191 0.000982146 158
192 0.00193846 404
194 0.00203569 369
195 0.000523873 467
196 0.00365714 329
199 0.00228316 543
201 0.000242438 136
205 0.00121534 348
206 0.000857846 115
209 0.00154447 480
212 7.66923e-05 302
216 0.00063863 264
219 0.00204712 349
220 0.000887033 490
221 0.0024915 506
222 0.0111643 527
224 0.000309299 106
225 0.00132747 259
226 0.00129799 65
227 0.00219835 216
228 0.00144955 54
229 0.00143322 288
230 0.00552008 17
233 0.000570685 120
235 0.00128781 273
236 0.0007919 556
237 0.000434469 184
239 0.00175769 143
240 0.00721204 366
243 0.00115187 388
244 0.000864619 113
246 0.000468773 309
247 0.000368379 265
248 0.000689239 103
249 0.00139451 297
250 0.00251299 286
252 0.00355831 362
253 0.000312373 102
254 0.000957606 535
255 0.000151785 291
256 0.000517719 350
257 6.94663e-05 547
259 0.00214765 19
260 0.000448636 555
262 0.000348497 497
265 0.000153533 31
267 0.00017728 170
268 0.000539733 234
269 7.97222e-05 546
270 0.000635967 472
271 0.000460314 47
273 0.00063607 167
275 0.000972976 25
277 0.000261211 258
279 0.00134417 162
280 0.000323355 370
281 0.00025717 128
282 0.00270666 226
283 0.000451763 295
285 0.000523405 62
287 0.0171798 42
289 0.00177392 468
290 0.000400128 445
291 0.00120211 319
292 0.00129481 394
293 0.0110809 508
294 0.00179309 96
295 0.00143954 515
296 0.000508364 501
299 0.00187612 531
301 0.000864407 4
302 0.00126734 205
303 0.00119417 567
304 0.0044475 565
305 0.000820384 179
309 0.00045886 110
311 0.00128445 49
313 0.000358083 510
318 0.0015825 290
319 0.000184266 422
321 0.000227045 321
322 0.000974312 505
323 0.000531423 576
324 0.00215043 121
325 0.0002192 188
326 0.000209352 365
329 0.000451387 342
333 0.00144535 168
336 0.0011148 318
338 0.000570445 35
339 0.00466935 122
341 0.00574162 450
344 0.00770043 562
345 0.000170362 87
347 0.000603011 204
349 0.000557603 135
352 0.000184827 539
353 0.00116304 26
354 0.000858517 38
355 0.000107145 270
360 0.000455126 41
364 0.00087417 155
365 0.000184266 71
367 0.00139624 118
368 0.00159894 317
369 0.000227467 73
370 0.000437583 246
371 0.000201632 214
372 0.000184671 463
373 0.0012985 210
375 0.00637233 119
376 0.000928929 443
377 0.000831426 165
379 0.00130041 312
383 0.000224319 125
387 0.00221198 177
388 8.55708e-05 375
390 0.000987316 307
391 0.00387187 172
392 0.00584114 85
396 0.00497695 274
397 0.000779802 384
399 0.000175307 373
403 0.000479455 413
404 0.00545943 367
405 0.00172925 108
407 0.000451387 164
410 0.00012104 253
412 0.000852026 173
414 0.000841057 277
416 0.000109809 57
418 0.000114351 249
421 0.000805158 559
425 0.00187407 198
426 0.000788188 278
428 0.000105351 130
431 0.000499298 336
435 0.000468773 69
436 0.00083021 33
440 0.000678447 189
442 0.000918457 517
446 0.000495435 380
448 0.00753049 267
450 0.000685031 48
451 0.00504233 438
454 0.00131382 248
456 0.000273719 561
457 0.00107408 331
459 0.0011854 292
460 0.0176627 300
463 0.000574789 316
464 0.000508285 289
466 0.00119569 428
468 8.40597e-05 412
470 0.00950091 400
472 0.000274788 218
473 0.000849583 518
475 0.00179095 354
476 0.00222364 537
477 0.00457211 101
478 0.000521199 378
479 0.00528704 491
480 0.000589248 182
482 0.00241821 153
483 0.002038 299
484 0.000309183 139
485 0.00108877 464
488 0.000192423 540
489 0.000190664 212
491 0.00135185 513
497 0.000623245 241
498 0.000818248 549
499 0.0021763 439
500 0.00123391 114
502 0.000439768 452
503 0.000339164 202
507 0.001192 435
509 0.00115858 131
515 0.000114841 171
519 0.000826001 523
521 0.000794 3
524 0.000146497 320
526 0.000144842 199
529 0.000264871 109
531 0.00427695 229
533 0.00196273 257
535 0.000328911 352
536 0.00220331 477
537 0.00100458 476
538 0.00151181 230
541 0.00191549 20
542 0.00104249 357
548 0.000321371 213
552 0.000695578 392
553 0.00172474 239
554 0.00068411 529
556 0.00201692 280
557 0.000283884 544
558 0.000959331 175
559 0.00103552 272
562 0.000178049 363
563 0.00243085 551
564 0.000532735 40
565 0.000184827 552
566 0.000570419 72
569 0.000637467 233
572 0.00127431 574
573 0.00316167 499
574 0.00204265 281
575 0.000370796 454
578 0.0109981 440
581 0.00129339 126
582 0.0029206 235
583 0.000613364 222
585 0.000495134 524
586 0.00103532 434
587 0.00132668 441
588 0.00143811 353
589 0.00165722 486
590 0.000859269 545
591 0.00146327 91
592 0.000421193 34
594 0.0132202 83
595 0.00367932 21
597 0.000262301 382
601 0.00059822 396
602 0.00597248 55
604 0.000110931 22
605 0.00255239 294
606 0.000393768 339
607 0.00106146 134
608 0.00052156 59
609 6.94663e-05 244
610 0.000231472 296
612 0.00398276 564
613 0.00113329 240
614 0.000276943 489
615 0.0032937 88
617 0.000694728 79
618 0.000498537 10
619 0.0124621 389
620 0.00144217 28
621 0.000115173 112
623 0.000338421 306
625 0.00392464 152
628 0.000614633 150
629 0.000452092 503
631 0.00250326 271
634 0.00239461 346
635 0.0019121 314
638 0.000451387 356
639 0.000845412 195
642 0.000752352 326
643 0.000984402 386
644 0.00570714 263
646 0.000612542 81
648 0.000837875 251
650 0.000560139 521
651 0.000147402 405
652 0.000185399 473
653 0.000453886 124
656 0.00194434 190
657 0.000813458 305
659 0.000336391 569
661 0.00144466 358
662 0.00212625 196
664 0.00121775 387
665 0.00751923 148
667 0.00261092 2
668 0.00176526 548
669 0.00479538 303
670 0.0027636 502
671 0.00122638 183
672 0.000167432 63
674 0.00127541 104
676 0.000505344 160
677 0.000241796 395
678 0.000976966 332
681 0.000178805 261
683 0.00109441 24
684 0.00413284 520
687 0.000721804 141
689 0.000289928 82
690 0.00122738 169
692 0.00463375 252
695 0.000596866 376
696 0.000550806 424
697 0.00210803 237
702 0.000658543 340
705 0.0210686 242
709 0.000331422 315
711 0.000830574 550
713 0.000335721 572
714 0.00164443 485
715 0.000522125 493
717 0.000710414 430
718 0.000429516 224
719 0.000158029 553
720 0.00282109 570
721 0.00098868 1
722 0.000268525 132
723 9.64326e-05 238
724 0.000280763 456
726 0.00269591 151
727 0.000573283 176
728 0.000216025 201
729 0.000398199 361
730 0.00486532 347
731 0.00445889 159
732 0.000392338 227
737 0.00467207 351
739 0.000994139 187
744 0.00122512 571
746 0.000428395 144
747 0.000250684 554
748 0.00468085 275
749 0.000152046 207
751 0.000216491 566
753 0.000216025 127
755 0.000223713 397
756 0.00474321 77
757 0.0014983 414
762 0.00273483 30
763 0.000500332 322
764 0.000348707 475
770 0.000105351 578
771 0.000188888 95
774 0.0009957 575
775 0.000383547 16
776 0.000483185 163
777 0.000155207 8
781 0.00397364 407
782 0.000138941 100
784 0.000754439 330
787 0.000864843 410
788 0.000357941 89
789 0.000306349 429
793 0.00107716 526
794 0.000890007 453
795 0.000793027 310
796 0.000754125 133
801 0.00445797 178
802 0.00129796 436
803 0.00298963 56
804 0.00167312 425
805 0.000143463 145
807 0.000216491 478
812 0.00499718 276
814 0.0044887 344
816 0.00142635 364
820 0.000196478 573
821 0.000876037 393
822 0.000372743 541
823 0.000793227 391
824 0.000146497 94
831 0.000462466 287
833 0.0030581 536
834 0.000316458 37
835 0.00338016 156
836 0.000289928 504
837 0.00575586 67
838 0.000144842 293
840 0.00129901 99
843 0.000942053 43
844 0.00597153 458
845 0.000259665 138
847 0.00255284 483
848 0.00167436 117
850 0.00579894 266
852 0.0001282 437
853 0.000261864 70
855 0.00184333 45
856 0.000571324 484
858 0.0029978 383
861 0.00041835 460
863 0.000844502 12
867 0.000844842 298
868 0.000346445 403
872 0.000208611 44
874 0.00249038 337
875 0.0091063 52
876 0.00279623 256
878 0.000312226 60
879 0.000298098 247
881 0.000488545 512
882 0.000746009 401
883 0.00681237 494
884 0.000186141 284
885 0.000675424 325
886 0.00238398 471
887 0.000975277 154
888 0.000184842 466
889 0.000487478 157
891 0.000267544 98
893 0.000131254 39
894 0.0175945 415
895 0.00187829 500
899 0.00380088 107
900 0.000796229 377
901 0.000244616 74
902 0.00162788 36
903 0.000531438 577
908 0.000624884 334
910 0.000322992 206
911 0.00146292 181
912 0.00230837 215
915 0.00516976 420
916 0.00163977 509
918 0.000223268 185
919 0.00152366 447
920 0.00617686 418
921 0.000269699 406
922 0.000928019 419
924 0.00271738 186
925 0.00162953 479
926 0.00492975 208
927 0.00111129 451
928 0.000986233 268
929 0.000122982 61
930 0.000518188 269
931 0.000573763 427
932 0.00507597 488
935 0.000862099 360
936 0.000771594 492
939 0.0101364 197
941 0.000378045 304
942 0.00229449 97
946 0.00337907 209
950 0.000826707 14
954 0.00556783 180
955 0.00162099 203
956 6.94663e-05 5
957 0.00278697 379
959 9.64326e-05 301
960 0.00193548 147
961 0.000328911 223
962 0.0009826 560
963 0.00424892 194
965 0.00139356 374
968 0.000938241 398
970 0.00033397 431
971 0.00448779 146
972 0.00254911 417
973 0.000821209 140
977 0.000740999 359
978 0.00186805 282
979 0.00191081 455
983 0.000537243 15
986 0.000902703 283
988 0.000494564 462
990 0.000810976 446
991 0.000807859 27
992 0.000476415 433
994 0.00044643 6
995 0.00188 495
997 0.0021531 470
998 0.00313553 519
999 0.0071458 228
1000 0.00116625 343
1001 0.000173616 279
1002 0.00107301 232
1004 0.00141831 328
1006 7.66923e-05 231
1008 0.000682798 200
1009 0.00159188 80
1013 0.000434525 236
1014 0.00159626 426
1015 0.00790374 402
1016 0.000564469 534
1018 0.000470742 217
1020 0.000451387 254
1022 0.000491139 149
1023 0.000336243 111
1026 0.000801064 563
1030 0.000409175 18
1031 0.00145374 142
1032 0.000233458 333
1034 0.000412036 532
