#PageRankData 0
# PageRank computation data result
# Copyright (C) 2012 Hitoshi Yamauchi
#
# result_index pagerank sorted_permulation_index
#
3 0.000139813 71
4 0.000122831 557
6 0.00266781 498
7 0.00603383 95
9 0.00718067 522
10 0.000189818 292
12 0.000847312 312
13 4.24529e-05 224
14 3.3913e-05 364
15 0.00195756 193
16 0.00667268 573
17 6.55147e-05 535
19 0.00098173 272
22 0.000545013 503
23 0.00413325 93
28 7.37992e-05 97
29 0.00096157 432
30 5.14456e-05 600
33 3.7626e-05 517
34 0.000122836 119
43 0.000394653 26
44 1.80684e-05 5
45 0.000559047 372
46 0.000243565 416
47 0.000162022 492
48 0.00723789 31
49 0.0066337 528
50 0.00017015 617
58 0.000603514 291
59 0.000411662 136
62 0.00718067 56
63 0.000164786 99
64 0.000886762 518
65 0.000108177 398
66 0.000472623 339
70 0.00138308 509
71 0.000359817 122
72 0.000198773 11
73 0.00259971 27
74 8.27809e-05 183
75 8.43118e-05 51
76 0.000298367 506
77 7.46192e-05 567
79 0.00195756 52
83 0.000244341 345
87 0.00629044 129
89 0.00087904 46
91 0.000116995 540
92 7.29214e-05 471
93 0.000151706 361
95 0.00651852 234
97 0.00634022 476
98 0.000238866 157
99 0.000222947 373
100 0.00103979 177
101 0.00685792 501
104 0.000109824 548
105 0.00123612 329
107 0.000664958 163
109 0.000167466 417
110 0.000135668 65
111 0.0002965 226
112 0.000808645 401
113 0.000184753 274
114 0.0061266 290
116 0.00608743 620
117 0.000379362 321
121 0.000157662 109
123 0.00359471 627
124 0.00050463 66
125 0.00905953 405
127 9.04053e-05 164
128 0.00270732 314
131 0.000238516 118
134 0.00202022 487
136 0.000232842 455
144 0.000217292 215
145 0.00023874 566
147 6.79271e-05 85
149 0.000852918 113
152 0.000678098 611
154 0.000108703 117
156 0.000824417 311
157 0.00129746 453
158 0.006048 529
160 0.000135147 178
161 0.000112833 213
163 0.000185514 236
165 0.000762024 261
166 0.00042633 445
167 0.00354805 472
170 0.000327402 502
171 0.0074003 516
172 0.000135426 565
173 0.00816851 598
174 0.000199418 614
177 0.00729559 303
179 0.00284587 319
180 0.00683258 352
182 8.53024e-05 420
183 0.000570746 4
184 4.44162e-05 537
185 5.90572e-05 450
188 8.62675e-05 347
189 0.000138138 168
191 0.000279441 271
192 0.000330791 422
194 0.000442331 365
195 0.00609908 15
196 0.000840637 266
199 0.000540501 69
201 6.60277e-05 91
204 0.00603557 367
205 0.000217692 591
206 0.000235332 335
209 0.000339113 475
212 0.00603442 579
213 0.00607929 354
216 0.00723791 98
219 0.000469792 243
220 0.000329015 411
221 0.00675915 147
222 0.00255179 174
224 8.48142e-05 436
225 0.000352126 73
226 0.00149861 496
227 0.000647797 556
228 0.00037248 3
229 0.00630356 505
230 0.000842402 337
233 0.000224022 538
235 0.000220852 39
236 0.000230237 123
237 0.000134686 397
239 0.000525083 610
240 0.00700421 334
243 0.0002556 282
244 0.000226279 446
246 0.000139542 613
247 0.00207856 209
248 0.000170403 360
249 0.000398605 539
250 0.000472532 255
252 0.000818444 568
253 7.65629e-05 197
254 0.000233264 586
255 0.00272372 140
256 9.08972e-05 273
257 1.80684e-05 283
259 0.000445703 75
260 0.000118845 515
262 0.000137393 466
265 3.61746e-05 250
267 8.06132e-05 287
268 0.000136138 44
269 1.98187e-05 402
270 0.00619425 414
271 0.000145385 10
273 0.000109257 232
275 0.00027549 203
277 7.33269e-05 258
279 0.000219718 431
280 0.00612814 395
281 0.00608227 320
282 0.00065845 606
283 7.28657e-05 126
285 7.59886e-05 594
287 0.00474832 202
288 9.26841e-05 36
289 0.000221631 351
290 0.000137022 223
291 0.000302242 222
292 0.000343142 382
293 0.00272322 504
294 0.000485599 553
295 0.000449981 84
296 0.00614713 279
297 0.00603383 58
299 0.000447798 230
301 0.000329552 508
302 0.000286125 268
303 0.000269083 259
304 0.00655482 558
305 0.000252383 564
309 0.000121437 201
311 0.000440998 233
313 0.000150677 260
316 3.46374e-05 238
318 0.000363811 494
319 5.14456e-05 305
321 6.92211e-05 441
322 0.000188803 511
323 0.00768987 231
324 0.000631276 55
325 6.31266e-05 605
326 0.000103391 588
329 0.00222462 549
333 0.000240221 467
336 0.00082902 207
338 0.000610608 500
339 0.00114243 595
341 0.0014586 13
344 0.00172422 300
345 5.09278e-05 470
347 0.000138174 577
349 0.000162138 456
350 0.000981854 17
352 4.59473e-05 478
353 0.00240919 440
